title | number of Violations found
Amazon DynamoDB Streams | 32
AWS Security Token Service | 85
AWS Support | 93
Amazon Simple Workflow Service | 237
Synthetics | 109
Amazon Textract | 168
Amazon Timestream Query | 132
Amazon Timestream Write | 203
Amazon Transcribe Service | 302
AWS Transfer Family | 509
Amazon Translate | 170
AWS WAF | 718
AWS WAF Regional | 750
AWS WAFV2 | 523
AWS Well-Architected Tool | 295
Amazon WorkDocs | 372
Amazon WorkLink | 224
Amazon WorkMail | 668
Amazon WorkMail Message Flow | 8
Amazon WorkSpaces | 472
AWS X-Ray | 163
Aviation Radiation API | 34
 Seller Service Metrics API  | 25
Compliance API | 19
Vehicle Enquiry API | 3
api.video | 58
Swagger API2Cart | 558
Api2Pdf - PDF Generation, Powered by AWS Lambda | 7
ApiDapp | 26
Ecosystem API | 1
Marketcheck APIs | 122
Department of Food, Public Distribution & Consumer Affairs (PDS), Jharkhand | 2
Acko General Insurance Limited | 4
Accountants General, Tripura | 4
Food, Civil Supplies and Consumer Affairs Department, Karnataka | 2
AIIMS Mangalagiri | 2
AIIMS, Patna | 2
AIIMS Rishikesh | 2
Dr. A. P. J. Abdul Kalam Technical University, Lucknow, Uttar Pradesh | 3
Department of Agricultural Marketing, Karnataka | 2
Agricultural Scientists Recruitment Board | 2
Bajaj Allianz General Insurance Company Ltd. (BAGIC) | 9
Bajaj Allianz Life Insurance Company Ltd | 3
Dr. Babasaheb Ambedkar Research & Training Institute, Maharashtra | 2
Ministry of Petroleum and Natural Gas(BPCL) | 2
Bharti AXA General Insurance Company Ltd. | 7
Department of Pension and Pensioners Welfare | 3
Bihar State Board of School Examination, Bihar | 3
Biju Patnaik University Of Technology, Odisha | 2
Haryana State Board of School Education, Haryana | 3
Central Board of Secondary Education | 18
Chhattisgarh State Board of Secondary Education, Chhattisgarh | 3
Greater Chennai Corporation, Tamil Nadu | 3
Chitkara University | 2
Cholamandalam MS General Insurance Company Ltd. | 3
CISCE | 6
Civil Supplies Department, Kerala | 2
CPCT-MAPIT, Madhya Pradesh | 2
Common Service Centre (CSC) | 3
Dr. B.R. Ambedkar Institute of Technology,Andaman & Nicobar Islands | 2
Tamil Nadu State Board (Tamil Nadu Directorate of Government Examinations), Tamil Nadu | 3
Importer-Exporter Details API | 2
BOARD OF HIGHER SECONDARY EXAMINATION, KERALA, Kerala | 2
Department of IT and Communication, Arunachal Pradesh | 2
eDistrict Chandigarh, Chandigarh | 6
Directorate of Information Technology, Government of Tripura, Tripura | 22
University Of Delhi | 2
eDistrict Andaman & Nicobar Islands, Andaman & Nicobar | 16
eDistrict Himachal Pradesh, Himachal Pradesh | 42
eDistrict Kerala, Kerala | 29
eDistrict Odisha, Odisha | 8
eDistrict Odisha ServicePlus, Odisha | 9
Punjab State eGovernance Society, Punjab | 10
eDistrict Uttar Pradesh, Uttar Pradesh | 8
Department of Food and Civil Supplies Himachal Pradesh, Himachal Pradesh | 2
Revenue, Registration & Land Reforms Department, Jharkhand | 4
Employees' Provident Fund Organization | 6
Himachal Pradesh Department of Revenue, Himachal Pradesh | 20
eService (eDistrict), Arunachal Pradesh | 7
Food and Supplies Department, Haryana | 2
Future Generali Total Insurance Solutions | 7
General Administration Department, Bihar | 6
Gauhati University | 2
Goa State Board of Secondary and Higher Secondary Education, Goa | 2
Geetanjali University, Udaipur | 2
GMCH, Chandigarh | 2
Goa Water Resources Department, Goa | 5
Go Digit General Insurance Ltd. | 4
Gujarat Vidyapith, Ahmedabad | 2
Ministry of Petroleum and Natural Gas (HPCL) | 2
Board of Ayurvedic and Unani Systems of Medicine, Himachal Pradesh, Himachal Pradesh | 3
Himachal Pradesh Board of School Education, Himachal Pradesh | 3
Panchayati Raj Department, Himachal Pradesh, Himachal Pradesh | 2
HP Swasthya Bima Yojna Society, Himachal Pradesh | 2
HP Staff Selection Commission - HPSSC - Himachal Pradesh, Himachal Pradesh | 3
Himachal Pradesh Takniki Shiksha Board Dharamshala, Himachal Pradesh | 2
Haryana State Board of Technical Education, Haryana | 2
Maharashtra State Board of Secondary and Higher Secondary Education, Maharashtra | 5
ICICI Lombard GIC Ltd. | 9
ICICI Prudential Life Insurance Company Ltd | 3
Institute of Company Secretaries of India | 3
Department of Registration & Stamps, Maharashtra | 2
Indian Navy (INS Valsura) | 3
Ministry of Petroleum and Natural Gas (IOCL) | 3
DigiLocker Issuer APIs | 9
Jharkhand State Board (Jharkhand Academic Council), Jharkhand | 5
Joint Entrance Examination Council, Uttar Pradesh, Uttar Pradesh | 3
Jharsewa (eDistrict), Jharkhand | 9
Jawaharlal Nehru Rajkeeya Mahavidyalaya | 2
Jaypee University Of Information Technology, Waknaghat (H. P.) | 2
KERALA PUBLIC SERVICE COMMISSION, Kerala | 2
Karnataka Industrial Areas Development Board, Karnataka | 9
Krishna Kanta Handique State Open University (KKHSOU), Assam | 3
Kotak Mahindra General Insurance Company Ltd. | 8
Karnataka Secondary Education Examination Board, Karnataka | 2
Department of IT and BT, Karnataka | 4
Labour Resource Department, Bihar | 8
Revenue Department - Land Records, Karnataka | 5
Andaman Law College, Andaman & Nicobar | 2
Department of Legal Metrology, Uttar Pradesh | 7
Life Insurance Corporation of India | 3
Max Life Insurance Co. Ltd. | 3
Meghalaya Board of School Education, Tura, Meghalaya | 3
Mizoram State Board of School education | 5
Maharashtra Council of Indian Medicine | 3
Meark Enterprise Pvt. Ltd. | 3
Labour Employment, Skill Development and Entrepreneurship, Mizoram | 2
Mizoram Police, Mizoram | 2
Madhya Pradesh Medical Science University, Jabalpur M.P., Madhya Pradesh | 5
Paramedical Council, Madhya Pradesh | 3
Manav Rachna International Institute of Research & Studies | 2
Ministry of Skill Development And Entrepreneurship | 2
Directorate of Municipal Administration, Karnataka | 5
National Insurance Company Ltd. | 12
NCERT | 2
National e-Governance Division | 2
National Institute of Electronics and Information Technology | 3
New India Assurance Co. Ltd. | 9
NIESBUD | 2
National Institute of Open Schooling | 7
National Institute Of Technology Arunachal Pradesh | 2
National Institute of Technology, Patna | 2
Sailu Municipal Council, Maharashtra | 2
National Skill Development Corporation (NSDC) | 4
The Oriental Insurance Co. Ltd. | 13
Income Tax Department | 2
Kerala State Board of Public Examinations, Kerala | 2
Department of Labour, Govt of Punjab, Punjab | 5
PGIMER, Chandigarh | 2
Public Health Engineering Department, Haryana, Haryana | 4
National Health Authority | 2
Pramerica Life Insurance Ltd. | 3
Punjab School Education Board, Punjab | 7
Karnataka State Board (Department of Pre University Education), Karnataka | 2
The Punjab State Board of Technical Education & Industrial Training | 2
Social Justice and Empowerment Department, Rajasthan | 2
Rajasthan Board of Secondary Education | 3
Reliance General Insurance Company Ltd | 8
Revenue & Disaster Management Department, Assam, Assam | 2
Revenue Department, Odisha | 3
Department of Sainik Welfare, Puducherry | 2
Antyodaya Saral Haryana, Haryana | 2
SBI General Insurance Company Ltd | 7
UP State Council of Vocational Training, Uttar Pradesh, Uttar Pradesh | 3
Assam State Board of Secondary Education, Assam | 2
Directorate of Economics and Statistics Cum Chief Registrar, Rajasthan, Rajasthan | 4
Department of Empowerment of Persons with Disabilities | 3
Tata AIA Life Insurance Co. Ltd. | 5
Tata AIG General Insurance Company Ltd. | 3
Tripura State Board of Secondary Education, Tripura | 2
Ministry of Road Transport and Highways | 6
Transport Department, Andaman & Nicobar | 3
Transport Department, Andhra  Pradesh | 3
Transport Department, Arunachal Pradesh | 3
Transport Department, Assam | 3
Transport Department, Bihar | 3
Transport Department, Chhattisgarh | 3
Transport Department, Daman & Diu | 3
Transport Department, Dadra & Nagar Haveli | 3
Transport Department, Delhi | 3
Transport Department, Goa | 3
Transport Department, Gujarat | 3
Transport Department, Himachal Pradesh | 3
Transport Department, Haryana | 3
Transport Department, Jharkhand | 3
Transport Department, Jammu & Kashmir | 3
Karnataka Department of Transport, Karnataka | 3
Motor Vehicle Department, Kerala | 3
Transport Department, Lakshadweep | 3
Motor Vehicle Department, Maharashtra | 3
Transport Department, Meghalaya | 3
Transport Department, Manipur | 3
Transport Department, Madhya Pradesh | 3
Transport Department, Mizoram | 3
Motor Vehicle Department, Nagaland | 3
Motor Vehicle Department, Odisha | 3
Transport Department, Punjab | 3
Transport Department, Puducherry | 3
Transport Department, Rajasthan | 3
Transport Department, Sikkim | 3
Transport Department, Tamil Nadu | 3
Transport Department, Tripura | 3
State Transport Department, Telangana | 3
Transport Department, Uttarakhand | 3
Transport Department, Uttar Pradesh | 3
Transport Department, West Bengal | 3
Uttarakhand State Board of School Education, Uttarakhand | 4
UCO Bank | 2
United India Insurance Company Limited | 3
UP State Board of High School and Intermediate Education, Uttar Pradesh | 3
Board of Vocational Higher Secondary Examinations, Kerala | 2
Veer Surendra Sai University Of Technology | 2
Bulk WHOIS API | 13
Identity API | 6
App Store Connect API | 444
SiriKit Cloud Media | 14
PowerTools Developer | 191
AppVeyor REST API | 62
Appwrite | 160
Search Services | 8
Wayback API | 5
ART19 Content API Documentation | 115
Asana | 140
SearchLy API v1 | 6
The Jira Cloud platform REST API | 1649
Auckland Museum API | 19
Avaza API Documentation | 180
AviationData.Systems Airports API V1 | 13
Axesso Api | 15
Azure Enterprise Knowledge Graph Service | 10
Azure Addons Resource Provider | 11
ADHybridHealthService | 232
AdvisorManagementClient | 40
Azure Alerts Management Service Resource Provider | 15
AzureAnalysisServices | 48
ApiManagementClient | 10
AppConfigurationManagementClient | 46
Azure Log Analytics Query Packs | 14
ApplicationInsightsManagementClient | 12
Application Insights Data Plane | 17
WorkbookClient | 4
AppPlatformManagementClient | 77
AttestationClient | 10
AuthorizationManagementClient | 14
AutomationManagement | 17
Update Management | 7
AutomationManagementClient | 15
SubscriptionsManagementClient | 5
DeploymentAdminClient | 18
AzureBridgeAdminClient | 10
InfrastructureInsightsManagementClient | 7
FabricAdminClient | 7
BackupManagementClient | 9
CommerceManagementClient | 4
Compute Admin Client | 11
ComputeDiskAdminManagementClient | 5
GalleryManagementClient | 11
KeyVaultManagementClient | 3
NetworkAdminManagementClient | 4
SubscriptionClient | 35
UpdateAdminClient | 13
StorageManagementClient | 6
KustoManagementClient | 63
azureactivedirectory | 16
AzureDataManagementClient | 23
Azure Stack Azure Bridge Client | 18
AzureStack Azure Bridge Client | 25
BatchManagement | 80
BatchService | 91
BatchAI | 77
BillingManagementClient | 296
BlockchainManagementClient | 48
BlueprintClient | 24
Azure Bot Service | 40
CdnManagementClient | 107
Azure CDN WebApplicationFirewallManagement | 13
CognitiveServicesManagementClient | 24
Anomaly Detector Client | 9
Anomaly Finder Client | 6
Computer Vision | 11
Content Moderator Client | 92
Face Client | 126
Form Recognizer Client | 21
Ink Recognizer Client | 4
LUIS Authoring Client | 212
LUIS Programmatic | 127
Language Understanding Intelligent Service (LUIS) Endpoint API for running predictions and extracting user intentions and entities from utterances. | 5
Personalizer Client | 23
QnAMaker Client | 26
QnAMaker Runtime Client | 6
Text Analytics Client | 12
UsageManagementClient | 6
ComputeManagementClient | 4
ContainerServiceClient | 13
DiskResourceProviderClient | 66
SharedImageGalleryServiceClient | 52
RunCommandsClient | 12
ComputeManagementConvenienceClient | 5
ConsumptionManagementClient | 89
ContainerInstanceManagementClient | 36
ContainerRegistryManagementClient | 25
Cosmos DB | 5
CostManagementClient | 25
CustomerInsightsManagementClient | 162
Customer Lockbox | 14
customproviders | 26
DataBoxManagementClient | 42
DataBoxEdgeManagementClient | 127
DatabricksClient | 19
Azure Data Catalog Resource Provider | 8
DataFactoryManagementClient | 221
DataLakeAnalyticsAccountManagementClient | 67
DataLakeAnalyticsCatalogManagementClient | 88
DataLakeAnalyticsJobManagementClient | 14
DataLakeStoreAccountManagementClient | 53
DataLakeStoreFileSystemManagementClient | 7
Azure Data Migration Service Resource Provider | 61
DataShareManagementClient | 113
AzureDeploymentManager | 55
iotDpsClient | 47
Azure DevOps | 20
DevSpacesManagement | 15
DevTestLabsClient | 314
AzureDigitalTwinsManagementClient | 34
DnsManagementClient | 19
Domain Services Resource Provider | 9
Dynamics Telemetry | 4
EngagementFabric | 27
EventGridManagementClient | 95
EventHubManagementClient | 102
EventHub2018PreviewManagementClient | 59
FrontDoorManagementClient | 50
NetworkExperiments | 34
WebApplicationFirewallManagement | 13
GuestConfiguration | 5
HanaManagementClient | 26
Azure Dedicated HSM Resource Provider | 14
HDInsightManagementClient | 18
HDInsightJobManagementClient | 26
HealthcareApisClient | 22
HybridComputeManagementClient | 29
HybridDataManagementClient | 69
VirtualMachineImageTemplate | 27
InstanceMetadataClient | 3
IntuneResourceManagementClient | 61
Azure IoT Central | 3
iotHubClient | 77
IoTSpacesClient | 22
KeyVaultClient | 70
ManagedLabsClient | 160
Azure Location Based Services Resource Provider | 27
LogicManagementClient | 240
Azure ML Commitment Plans Management Client | 16
Azure ML Web Services Management Client | 14
Machine Learning Workspaces Management Client | 22
Machine Learning Compute Management Client | 20
ML Team Account Management Client | 34
Artifact | 78
Azure Machine Learning Datastore Management Client | 28
Execution Service | 18
HyperDrive | 7
Azure Machine Learning Workspaces | 61
Azure Machine Learning Model Management Service | 73
Run History APIs | 105
MaintenanceManagementClient | 28
ManagedNetworkManagementClient | 43
ManagedServicesClient | 26
Management Groups | 10
ACE Provisioning ManagementPartner | 9
Azure Maps Resource Provider | 29
MariaDBManagementClient | 15
Marketplace RP Service | 14
MarketplaceOrdering.Agreements | 18
Azure Media Services | 41
MediaServicesManagementClient | 26
Azure Migrate V2 | 68
Azure Migrate Hub | 49
Mixed Reality | 16
Engagement.ManagementClient | 99
Azure Action Groups | 21
Azure Activity Log Alerts | 15
MonitorManagementClient | 6
Guest Diagnostic Settings Association | 14
Guest Diagnostic Settings | 15
Azure Metrics | 1
Azure Monitor Private Link Scopes | 39
Microsoft Insights | 16
VM Insights Onboarding | 4
ManagedServiceIdentityClient | 16
MySQLManagementClient | 15
Microsoft NetApp | 106
NetworkManagementClient | 10
ExpressRouteCrossConnection REST APIs | 32
VirtualWANAsAServiceManagementClient | 114
NotificationHubsManagementClient | 64
Azure Log Analytics | 4
Azure Log Analytics - Operations Management | 32
PeeringManagementClient | 79
PolicyEventsClient | 35
PolicyMetadataClient | 8
PolicyStatesClient | 64
PolicyTrackedResourcesClient | 16
RemediationsClient | 62
portal | 16
PostgreSQLManagementClient | 5
PowerBIDedicated | 34
Power BI Embedded Management Client | 17
PrivateDnsManagementClient | 21
RecoveryServicesBackupClient | 4
RecoveryServicesClient | 5
SiteRecoveryManagementClient | 426
RedisManagementClient | 62
Relay | 69
Azure Reservation | 16
Azure Resource Graph | 7
Azure Resource Graph Query | 12
Microsoft.ResourceHealth | 40
ResourceManagementClient | 196
DeploymentScriptsClient | 20
FeatureClient | 13
ManagementLinkClient | 14
ManagementLockClient | 37
ApplicationClient | 48
PolicyClient | 26
SchedulerManagementClient | 23
SearchManagementClient | 40
SearchIndexClient | 15
SearchServiceClient | 32
Security Center | 10
Security Insights | 27
MicrosoftSerialConsoleClient | 10
ServerManagement | 74
Service Map | 53
ServiceBusManagementClient | 41
ServiceFabricManagementClient | 24
SeaBreezeManagementClient | 96
SignalRManagementClient | 32
Software Plan RP | 19
SqlManagementClient | 17
Azure SQL Database Backup Long Term Retention Policy | 6
Azure SQL Server Backup Long Term Retention Vault | 6
Azure SQL Database Backup | 9
Azure SQL Database | 13
Azure SQL Server API spec | 3
Azure SQL Database Datamasking Policies and Rules | 7
Azure SQL Database disaster recovery configurations | 15
Azure SQL Database replication links | 15
SqlVirtualMachineManagementClient | 40
StorSimpleManagementClient | 221
Azure Data Lake Storage | 13
Storage Cache Mgmt Client | 36
StorageImportExport | 25
Microsoft Storage Sync | 111
StorSimple8000SeriesManagementClient | 216
StreamAnalyticsManagementClient | 6
SubscriptionDefinitionsClient | 17
Microsoft.Support | 37
TimeSeriesInsightsClient | 40
TrafficManagerManagementClient | 9
Visual Studio Resource Provider Client | 43
Visual Studio Projects Resource Provider Client | 11
VMwareCloudSimple | 76
AppServiceCertificateOrders API Client | 50
AppServiceEnvironments API Client | 90
AppServicePlans API Client | 64
CertificateRegistrationProvider API Client | 5
Certificates API Client | 15
DeletedWebApps API Client | 13
Diagnostics API Client | 46
DomainRegistrationProvider API Client | 5
Domains API Client | 36
Provider API Client | 11
Recommendations API Client | 47
ResourceHealthMetadata API Client | 16
 API Client | 43
TopLevelDomains API Client | 10
LogicAppsManagementClient | 60
WebSite Management Client | 718
windowsesu | 17
DeviceServices | 19
Workload Monitor | 32
Bandsintown API | 1
Radio & Music Services | 31
BBC Nitro API | 49
BBC iPlayer Business Layer | 14
BC Laws | 20
Beanstream Payments | 5
BeezUP Merchant API  | 521
Betfair: Exchange Streaming API | 0
SEDRA IV API | 2
Bhagavad Gita API | 35
Budgea API Documentation | 312
500,000+ Recipe and Grocery List API (v2) | 63
Big Red Cloud API | 98
BikeWise API v2 | 15
Billingo API v3 | 10
BIN Lookup API | 8
Bitbucket API | 400
Blazemeter API Explorer | 35
IBM Containers API | 183
Botify API | 83
FastAPI | 3
Box Platform API | 533
brainbi | 43
BrandLovers Marketplace API V1 | 140
Braze Endpoints | 126
KYC API Documentation | 223
bridgedb webservices | 30
Browshot API | 40
Bufferapp | 141
BulkSMS JSON REST API | 33
bunq API | 209
Automata Market Intelligence API | 19
API for the COVID-19 Tracking QR Code Signin Server. | 13
Call Control API | 20
CalorieNinjas | 4
Cambase.io | 98
CarbonDoomsDay | 9
Prime ReportStream | 30
Cenit IO - REST API Specification | 99
Chaingateway.io | 34
API V1 | 24
Channel 4 API | 186
Chomp Food Database API Documentation | 27
CircleCI REST API | 46
Cisco PSIRT openVuln API | 71
GoToMeeting | 46
SCIM | 104
api.clarify.io | 66
ClearBlade API | 463
Clever-Cloud API | 534
Data API | 59
ClickMeter API | 328
ClickSend REST API v3 | 246
Climate FieldView Platform APIs | 49
climateKuul live | 56
ecwid | 435
ocrapi | 46
Cloud-RF API | 45
Clubhouse API | 134
Cnab Online | 2
CodeScan API | 2
Debian Code Search | 7
Public Api | 163
ConfigCat Public Management API | 287
The Consumer Financial Protection Bureau | 15
Contract.fit API | 576
CORE API v2 | 92
Corrently.io | 49
COVID-19 data API | 6
Co-WIN Certificate API | 5
Crediwatch's Covid APIs | 7
Crucible | 277
EU BON UTIS | 8
CyCAT.org API | 42
D7SMS | 8
Regulations.gov | 19
Data2CRM.API | 641
Open Skills API | 14
Dataflow Kit Web Scraper | 5
api.datumbox.com | 57
Deep Art Effects | 10
departureboard.io API | 52
Betriebsstellen | 3
Fahrplan-Free | 2
FaSta - Station Facilities Status | 16
Flinkster_API_NG | 8
Reisezentren-API | 5
Stationsdatenbereitstellung | 3
DLx | 43
Authorized Partner API Specification | 50
DigitalNZ API | 7
Discourse API Documentation | 204
Docker Engine API | 444
DocuSign REST API | 579
Domains-Index API | 67
DropX | 152
dweet.io | 52
EasyPDFServer | 2
Browse API | 88
Deal API | 23
Catalog API | 14
Taxonomy API | 58
Translation API | 3
Progress to Rate Limit API | 12
Feed API | 141
Listing API | 8
Logistics API | 38
Negotiation API | 13
Recommendation API | 5
CROssBAR Data API | 47
elmah.io API | 140
API v1.0.0 | 118
Net API | 5
U.S. EPA Enforcement and Compliance History Online (ECHO) - Clean Air Act | 37
U.S. EPA Enforcement and Compliance History Online (ECHO) - Enforcement Case Search | 53
U.S. EPA Enforcement and Compliance History Online (ECHO) - Clean Water Act (CWA) Rest Services | 76
U.S. EPA Enforcement and Compliance History Online (ECHO) - All Data | 37
U.S. EPA Enforcement and Compliance History Online (ECHO) - Effluent Charting and Reporting | 16
U.S. EPA Enforcement and Compliance History Online (ECHO) - Resource Conservation and Recovery Act  | 38
U.S. EPA Enforcement and Compliance History Online (ECHO) - Safe Drinking Water Act | 20
ESG Rating Data | 3
Etherpad API | 68
EtMDB REST API v1 | 88
ETSI GS MEC 010-2 - Part 2: Application lifecycle, rules and requirements management | 22
Europeana Search & Record API | 53
EVEMarketer Marketstat API | 14
EVE Swagger Interface | 658
ExaVault | 23
ExchangeRate-API | 1
Ex Libris APIs | 41
JSON storage | 1
