filename;violations
Report_AWS-AppSync.md;331
Report_AWS-Audit-Manager.md;323
Report_AWS-Auto-Scaling-Plans.md;45
Report_AWS-Backup.md;449
Report_AWS-Batch.md;119
Report_AWS-Budgets.md;223
Report_AWS-Certificate-Manager-Privat.md;204
Report_AWS-Certificate-Manager.md;122
Report_AWS-Cloud-Map.md;210
Report_AWS-Cloud9.md;130
Report_AWS-CloudFormation.md;564
Report_AWS-CloudHSM-V2.md;137
Report_AWS-CloudTrail.md;608
Report_AWS-CodeBuild.md;290
Report_AWS-CodeCommit.md;1344
Report_AWS-CodeDeploy.md;540
Report_AWS-CodePipeline.md;331
Report_AWS-CodeStar-connections.md;77
Report_AWS-CodeStar-Notifications.md;65
Report_AWS-CodeStar.md;148
Report_AWS-Comprehend-Medical.md;226
Report_AWS-Compute-Optimizer.md;237
Report_AWS-Config.md;642
Report_AWS-Cost-and-Usage-Report-Serv.md;24
Report_AWS-Cost-Explorer-Service.md;238
Report_AWS-Data-Exchange.md;172
Report_AWS-Data-Pipeline.md;141
Report_AWS-Database-Migration-Service.md;439
Report_AWS-DataSync.md;249
Report_AWS-Device-Farm.md;670
Report_AWS-Direct-Connect.md;370
Report_AWS-Directory-Service.md;683
Report_AWS-EC2-Instance-Connect.md;24
Report_AWS-Elastic-Beanstalk.md;435
Report_AWS-Elemental-MediaConvert.md;225
Report_AWS-Elemental-MediaLive.md;511
Report_AWS-Elemental-MediaPackage-VOD.md;115
Report_AWS-Elemental-MediaPackage.md;128
Report_AWS-Elemental-MediaStore-Data-.md;18
Report_AWS-Elemental-MediaStore.md;166
Report_AWS-Fault-Injection-Simulator.md;44
Report_AWS-Global-Accelerator.md;443
Report_AWS-Glue-DataBrew.md;172
Report_AWS-Glue.md;1690
Report_AWS-Greengrass.md;279
Report_AWS-Ground-Station.md;145
Report_AWS-Health-APIs-and-Notificati.md;77
Report_AWS-Identity-and-Access-Manage.md;2158
Report_AWS-IoT-1-Click-Devices-Service.md;70
Report_AWS-IoT-1-Click-Projects-Servi.md;72
Report_AWS-IoT-Analytics.md;219
Report_AWS-IoT-Core-Device-Advisor.md;54
Report_AWS-IoT-Data-Plane.md;61
Report_AWS-IoT-Events-Data.md;81
Report_AWS-IoT-Events.md;184
Report_AWS-IoT-Fleet-Hub.md;40
Report_AWS-IoT-Greengrass-V2.md;200
Report_AWS-IoT-Jobs-Data-Plane.md;30
Report_AWS-IoT-Secure-Tunneling.md;36
Report_AWS-IoT-SiteWise.md;471
Report_AWS-IoT-Things-Graph.md;270
Report_AWS-IoT-Wireless.md;754
Report_AWS-IoT.md;1718
Report_AWS-Key-Management-Service.md;539
Report_AWS-Lake-Formation.md;378
Report_AWS-Lambda.md;482
Report_AWS-License-Manager.md;516
Report_AWS-Marketplace-Catalog-Service.md;98
Report_AWS-Marketplace-Commerce-Analy.md;8
Report_AWS-Marketplace-Entitlement-Se.md;7
Report_AWS-MediaConnect.md;382
Report_AWS-MediaTailor.md;58
Report_AWS-Migration-Hub-Config.md;26
Report_AWS-Migration-Hub.md;203
Report_AWS-Mobile.md;67
Report_AWS-Network-Firewall.md;341
Report_AWS-Network-Manager.md;626
Report_AWS-OpsWorks-CM.md;141
Report_AWS-OpsWorks.md;512
Report_AWS-Organizations.md;660
Report_AWS-Outposts.md;139
Report_AWS-Performance-Insights.md;42
Report_AWS-Price-List-Service.md;43
Report_AWS-Proton.md;782
Report_AWS-RDS-DataService.md;49
Report_AWS-Resource-Access-Manager.md;362
Report_AWS-Resource-Groups-Tagging-API.md;68
Report_AWS-Resource-Groups.md;162
Report_AWS-RoboMaker.md;359
Report_AWS-S3-Control.md;204
Report_AWS-Savings-Plans.md;53
Report_AWS-Secrets-Manager.md;185
Report_AWS-Security-Token-Service.md;85
Report_AWS-SecurityHub.md;395
Report_AWS-Server-Migration-Service.md;337
Report_AWS-Service-Catalog-App-Regist.md;118
Report_AWS-Service-Catalog.md;546
Report_AWS-Shield.md;312
Report_AWS-Signer.md;116
Report_AWS-Single-Sign-On-Admin.md;345
Report_AWS-Single-Sign-On.md;32
Report_AWS-SSO-Identity-Store.md;181
Report_AWS-SSO-OIDC.md;26
Report_AWS-Step-Functions.md;181
Report_AWS-Storage-Gateway.md;600
Report_AWS-Support.md;93
Report_AWS-Systems-Manager-Incident-M.md;228
Report_AWS-Transfer-Family.md;509
Report_AWS-WAF-Regional.md;750
Report_AWS-WAF.md;718
Report_AWS-WAFV2.md;523
Report_AWS-Well-Architected-Tool.md;295
Report_AWS-X-Ray.md;163
Report_AWSKendraFrontendService.md;633
Report_AWSMarketplace-Metering.md;44
Report_AWSServerlessApplicationReposi.md;88
Report_Axesso-Api.md;15
Report_Azure-Action-Groups.md;21
Report_Azure-Activity-Log-Alerts.md;15
Report_Azure-Addons-Resource-Provider.md;11
Report_Azure-Alerts-Management-Servic.md;15
Report_Azure-Bot-Service.md;40
Report_Azure-CDN-WebApplicationFirewa.md;13
Report_Azure-Data-Catalog-Resource-Pr.md;8
Report_Azure-Data-Lake-Storage.md;13
Report_Azure-Data-Migration-Service-R.md;61
Report_Azure-Dedicated-HSM-Resource-P.md;14
Report_Azure-DevOps.md;20
Report_Azure-Enterprise-Knowledge-Gra.md;10
Report_Azure-IoT-Central.md;3
Report_Azure-Location-Based-Services-.md;27
Report_Azure-Log-Analytics---Operatio.md;32
Report_Azure-Log-Analytics-Query-Packs.md;14
Report_Azure-Log-Analytics.md;4
Report_Azure-Machine-Learning-Datasto.md;28
Report_Azure-Machine-Learning-Model-M.md;73
Report_Azure-Machine-Learning-Workspa.md;61
Report_Azure-Maps-Resource-Provider.md;29
Report_Azure-Media-Services.md;41
Report_Azure-Metrics.md;1
Report_Azure-Migrate-Hub.md;49
Report_Azure-Migrate-V2.md;68
Report_Azure-ML-Commitment-Plans-Mana.md;16
Report_Azure-ML-Web-Services-Manageme.md;14
Report_Azure-Monitor-Private-Link-Sco.md;39
Report_Azure-Reservation.md;16
Report_Azure-Resource-Graph-Query.md;12
Report_Azure-Resource-Graph.md;7
Report_Azure-SQL-Database-Backup-Long.md;6
Report_Azure-SQL-Database-Backup.md;9
Report_Azure-SQL-Database-Datamasking.md;7
Report_Azure-SQL-Database-disaster-re.md;15
Report_Azure-SQL-Database-replication.md;15
Report_Azure-SQL-Database.md;13
Report_Azure-SQL-Server-API-spec.md;3
Report_Azure-SQL-Server-Backup-Long-T.md;6
Report_Azure-Stack-Azure-Bridge-Client.md;18
Report_azureactivedirectory.md;16
Report_AzureAnalysisServices.md;48
Report_AzureBridgeAdminClient.md;10
Report_AzureDataManagementClient.md;23
Report_AzureDeploymentManager.md;55
Report_AzureDigitalTwinsManagementCli.md;34
Report_AzureStack-Azure-Bridge-Client.md;25
Report_Background-Removal-API.md;5
Report_Backup-for-GKE-API.md;41
Report_BackupManagementClient.md;9
Report_Bajaj-Allianz-General-Insuranc.md;9
Report_Bajaj-Allianz-Life-Insurance-C.md;3
Report_Balance-Platform-Transfers-API.md;0
Report_Bandsintown-API.md;1
Report_Barcode-API.md;7
Report_Bare-Metal-Solution-API.md;75
Report_BatchAI.md;77
Report_BatchManagement.md;80
Report_BatchService.md;91
Report_BBC-iPlayer-Business-Layer.md;14
Report_BBC-Nitro-API.md;49
Report_BC-Data-Catalogue-API.md;116
Report_BC-Geographical-Names-Web-Serv.md;49
Report_BC-Gov-News-API-Service-1.0.md;62
Report_BC-Laws.md;20
Report_BC-Route-Planner-REST-API.md;85
Report_Beanstream-Payments.md;5
Report_BeezUP-Merchant-API.md;521
Report_Benefits-Intake.md;10
Report_Betfair-Exchange-Streaming-API.md;0
Report_Betriebsstellen.md;3
Report_Bets-API.md;7
Report_BeyondCorp-API.md;41
Report_Bhagavad-Gita-API.md;35
Report_Bharti-AXA-General-Insurance-C.md;7
Report_Big-Red-Cloud-API.md;98
Report_BigQuery-API.md;54
Report_BigQuery-Connection-API.md;21
Report_BigQuery-Data-Transfer-API.md;29
Report_BigQuery-Reservation-API.md;30
Report_Bihar-State-Board-of-School-Ex.md;3
Report_Biju-Patnaik-University-Of-Tec.md;2
Report_BikeWise-API-v2.md;15
Report_Bill-Payment-Validator.md;1
Report_BillingManagementClient.md;296
Report_Billingo-API-v3.md;10
Report_Bills-API.md;37
Report_BIN-Lookup-API.md;8
Report_Binary-Authorization-API.md;23
Report_Bitbucket-API.md;400
Report_Blazemeter-API-Explorer.md;35
Report_BlockchainManagementClient.md;48
Report_Blogger-API.md;68
Report_BlueprintClient.md;24
Report_bng2latlong.md;1
Report_Board-of-Ayurvedic-and-Unani-S.md;3
Report_BOARD-OF-HIGHER-SECONDARY-EXAM.md;2
Report_Board-of-Vocational-Higher-Sec.md;2
Report_Books-API.md;18
Report_Botify-API.md;83
Report_Box-Platform-API.md;533
Report_brainbi.md;43
Report_Braket.md;90
Report_Branch-Locator-API.md;16
Report_BrandLovers-Marketplace-API-V1.md;140
Report_Braze-Endpoints.md;126
Report_bridgedb-webservices.md;30
Report_Browse-API.md;88
Report_Browshot-API.md;40
Report_Budgea-API-Documentation.md;312
Report_Bufferapp.md;141
Report_Bulk-Data-Storage-System-Servi.md;32
Report_Bulk-WHOIS-API.md;13
Report_BulkSMS-JSON-REST-API.md;33
Report_bunq-API.md;209
Report_Bus-Route-and-Stop-Methods.md;20
Report_Business-Profile-Performance-A.md;9
Report_Calendar-API.md;59
Report_Call-Control-API.md;20
Report_CalorieNinjas.md;4
Report_Cambase.io.md;98
Report_Campaign-Manager-360-API.md;351
Report_Car-Configurator.md;114
Report_Car-Registration-API.md;4
Report_CarbonDoomsDay.md;9
Report_Catalog-API.md;14
Report_Catalog-Inventory.md;113
Report_CBB-v3-Scores.md;26
Report_CBB-v3-Stats.md;38
Report_CdnManagementClient.md;107
Report_Cenit-IO---REST-API-Specificat.md;99
Report_Central-Board-of-Secondary-Edu.md;18
Report_Certificate-Authority-API.md;23
Report_Certificate-Manager-API.md;31
Report_CertificateRegistrationProvide.md;5
Report_Certificates-API-Client.md;15
Report_CFB-v3-Scores.md;32
Report_Chaingateway.io.md;34
Report_Channel-4-API.md;186
Report_ChannelShipper--Royal-Mail-Pu.md;37
Report_Checks-API.md;43
Report_Chhattisgarh-State-Board-of-Se.md;3
Report_Chitkara-University.md;2
Report_Cholamandalam-MS-General-Insur.md;3
Report_Chomp-Food-Database-API-Docume.md;27
Report_Chrome-Management-API.md;38
Report_Chrome-Policy-API.md;63
Report_Chrome-UX-Report-API.md;7
Report_Chrome-Verified-Access-API.md;7
Report_CircleCI-REST-API.md;46
Report_CISCE.md;6
Report_Cisco-PSIRT-openVuln-API.md;71
Report_City-of-Surrey-Open511-API.md;9
Report_City-of-Surrey-Traffic-Loop-Co.md;8
Report_Civil-Supplies-Department,-Ker.md;2
Report_ClearBlade-API.md;463
Report_Clever-Cloud-API.md;534
Report_ClickMeter-API.md;328
Report_ClickSend-REST-API-v3.md;246
Report_Climate-FieldView-Platform-APIs.md;49
Report_climateKuul-live.md;56
Report_Cloud-Asset-API.md;6
Report_Cloud-AutoML-API.md;64
Report_Cloud-Billing-API.md;6
Report_Cloud-Billing-Budget-API.md;8
Report_Cloud-Build-API.md;11
Report_Cloud-Channel-API.md;105
Report_Cloud-Composer-API.md;24
Report_Cloud-Data-Fusion-API.md;43
Report_Cloud-Data-Loss-Prevention-(DL.md;49
Report_Cloud-Dataplex-API.md;73
Report_Cloud-Dataproc-API.md;82
Report_Cloud-Datastore-API.md;7
Report_Cloud-Debugger-API.md;24
Report_Cloud-Deployment-Manager-V2-API.md;77
Report_Cloud-DNS-API.md;76
Report_Cloud-Document-AI-API.md;58
Report_Cloud-Domains-API.md;68
Report_Cloud-Filestore-API.md;30
Report_Cloud-Firestore-API.md;16
Report_Cloud-Functions-API.md;32
Report_Cloud-Healthcare-API.md;172
Report_Cloud-Identity-API.md;84
Report_Cloud-Identity-Aware-Proxy-API.md;15
Report_Cloud-IDS-API.md;26
Report_Cloud-IoT-API.md;43
Report_Cloud-Key-Management-Service-(.md;72
Report_Cloud-Life-Sciences-API.md;13
Report_Cloud-Logging-API.md;77
Report_Cloud-Memorystore-for-Memcache.md;30
Report_Cloud-Monitoring-API.md;47
Report_Cloud-Natural-Language-API.md;20
Report_Cloud-OS-Login-API.md;12
Report_Cloud-Private-Catalog-Producer.md;43
Report_Cloud-Private-Catalog.md;10
Report_Cloud-Resource-Manager-API.md;63
Report_Cloud-RF-API.md;45
Report_Cloud-Run-Admin-API.md;37
Report_Cloud-Runtime-Configuration-API.md;28
Report_Cloud-Scheduler-API.md;20
Report_Cloud-Search-API.md;99
Report_Cloud-Shell-API.md;21
Report_Cloud-Source-Repositories-API.md;27
Report_Cloud-Spanner-API.md;99
Report_Cloud-Speech-to-Text-API.md;5
Report_Cloud-SQL-Admin-API.md;98
Report_Cloud-Storage-for-Firebase-API.md;13
Report_Cloud-Storage-JSON-API.md;45
Report_Cloud-Talent-Solution-API.md;38
Report_Cloud-Tasks-API.md;44
Report_Cloud-Testing-API.md;16
Report_Cloud-Text-to-Speech-API.md;13
Report_Cloud-Tool-Results-API.md;57
Report_Cloud-TPU-API.md;41
Report_Cloud-Trace-API.md;8
Report_Cloud-Translation-API.md;35
Report_Cloud-Video-Intelligence-API.md;4
Report_Cloud-Vision-API.md;25
Report_Clubhouse-API.md;134
Report_Cnab-Online.md;2
Report_Co-WIN-Certificate-API.md;5
Report_CodeArtifact.md;334
Report_CodeScan-API.md;2
Report_CognitiveServicesManagementCli.md;24
Report_Commerce-API.md;5
Report_CommerceManagementClient.md;4
Report_Common-Service-Centre-(CSC).md;3
Report_Commons-Votes-API.md;13
Report_Community-API.md;18
Report_CompanyAPI.md;13
Report_Compliance-API.md;19
Report_Compute-Admin-Client.md;11
Report_ComputeDiskAdminManagementClie.md;5
Report_ComputeManagementClient.md;4
Report_ComputeManagementConvenienceCl.md;5
Report_Computer-Vision-Client.md;12
Report_Computer-Vision.md;11
Report_ConfigCat-Public-Management-API.md;287
Report_Connectors-API.md;30
Report_ConsumptionManagementClient.md;89
Report_Contact-Center-AI-Insights-API.md;53
Report_Container-Analysis-API.md;40
Report_ContainerInstanceManagementCli.md;36
Report_ContainerRegistryManagementCli.md;25
Report_ContainerServiceClient.md;13
Report_Content-API-for-Shopping.md;214
Report_Content-Moderator-Client.md;92
Report_Contract.fit-API.md;576
Report_Control-API-v1.md;7
Report_Conversation-API.md;0
Report_CORE-API-v2.md;92
Report_Coronavirus-API.md;9
Report_Corrently.io.md;49
Report_Cosmos-DB.md;5
Report_CostManagementClient.md;25
Report_COVID-19-data-API.md;6
Report_CPCT-MAPIT,-Madhya-Pradesh.md;2
Report_Crediwatchs-Covid-APIs.md;7
Report_CRM-cards.md;12
Report_CROssBAR-Data-API.md;47
Report_Crucible.md;277
Report_CSGO-v3-Scores.md;28
Report_CSGO-v3-Stats.md;28
Report_Custom-Behavioral-Events-API.md;3
Report_Custom-Image-Search-Client.md;4
Report_Custom-Search-API.md;3
Report_Custom-Search-Client.md;4
Report_Custom-Vision-Prediction-Client.md;31
Report_Custom-Vision-Training-Client.md;81
Report_Custom-Workflow-Actions.md;35
Report_Customer-Lockbox.md;14
Report_CustomerInsightsManagementClie.md;162
Report_customproviders.md;26
Report_CyCAT.org-API.md;42
Report_D7SMS.md;8
Report_Dados-Abertos---API.md;32
Report_Data-API.md;59
Report_Data-Labeling-API.md;62
Report_Data-pipelines-API.md;17
Report_Data2CRM.API.md;641
Report_Database-Migration-API.md;51
Report_DataBoxEdgeManagementClient.md;127
Report_DataBoxManagementClient.md;42
Report_DatabricksClient.md;19
Report_DataFactoryManagementClient.md;221
Report_Dataflow-API.md;99
Report_Dataflow-Kit-Web-Scraper.md;5
Report_DataLakeAnalyticsAccountManage.md;67
Report_DataLakeAnalyticsCatalogManage.md;88
Report_DataLakeAnalyticsJobManagement.md;14
Report_DataLakeStoreAccountManagement.md;53
Report_DataLakeStoreFileSystemManagem.md;7
Report_Dataproc-Metastore-API.md;59
Report_DataShareManagementClient.md;113
Report_Datastream-API.md;45
Report_Daymet-Single-Pixel-Extraction.md;18
Report_Deal-API.md;23
Report_Dealer.md;15
Report_Debian-Code-Search.md;7
Report_Deed-API.md;5
Report_Deep-Art-Effects.md;10
Report_DeletedWebApps-API-Client.md;13
Report_Department-of-Agricultural-Mar.md;2
Report_Department-of-Empowerment-of-P.md;3
Report_Department-of-Food,-Public-Dis.md;2
Report_Department-of-Food-and-Civil-S.md;2
Report_Department-of-IT-and-BT,-Karna.md;4
Report_Department-of-IT-and-Communica.md;2
Report_Department-of-Labour,-Govt-of-.md;5
Report_Department-of-Legal-Metrology,.md;7
Report_Department-of-Pension-and-Pens.md;3
Report_Department-of-Registration--S.md;2
Report_Department-of-Sainik-Welfare,-.md;2
Report_departureboard.io-API.md;52
Report_DeploymentAdminClient.md;18
Report_DeploymentScriptsClient.md;20
Report_DeviceServices.md;19
Report_DevSpacesManagement.md;15
Report_DevTestLabsClient.md;314
Report_Diagnostics-API-Client.md;46
Report_Dialogflow-API.md;127
Report_DigiLocker-Issuer-APIs.md;9
Report_Digital-Asset-Links-API.md;7
Report_DigitalNZ-API.md;7
Report_Directorate-of-Economics-and-S.md;4
Report_Directorate-of-Information-Tec.md;22
Report_Directorate-of-Municipal-Admin.md;5
Report_Discourse-API-Documentation.md;204
Report_Discovery-API.md;54
Report_Discovery-Market-Research.md;11
Report_DiskResourceProviderClient.md;66
Report_Dispatch-API.md;1
Report_Display--Video-360-API.md;299
Report_DLx.md;43
Report_DnsManagementClient.md;19
Report_Doc-Converter.md;3
Report_Docker-Engine-API.md;444
Report_DocuSign-REST-API.md;579
Report_Domain-Services-Resource-Provi.md;9
Report_DomainRegistrationProvider-API.md;5
Report_Domains-API-Client.md;36
